date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:39	33/33	---M-Z	404	error ('ERROR:%20The%20file%20requested%20could%20not%20be%20found.')	text/plain	etag:W/%22xisbdvtz2xm0jki9o+0fkq==%22	http://www.evoolution.ca/robots.txt		(from )
18:21:39	11209/11209	---M--	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2000:21:39%20GMT	http://www.evoolution.ca/	E:/evoolution/evoolution/www.evoolution.ca/index.html	(from )
18:21:39	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	text/css	etag:%22m9iun3qh1ddr5ei33u83la==%22	http://www.evoolution.ca/StyleSheets/ModuleStyleSheets.css	E:/evoolution/evoolution/www.evoolution.ca/StyleSheets/ModuleStyleSheets.css	(from http://www.evoolution.ca/)
18:21:40	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	text/css	etag:%22ewc0/mnichkw6lbs5ahu6w==%22	http://www.evoolution.ca/stylesheets/blueprint/screen.css	E:/evoolution/evoolution/www.evoolution.ca/stylesheets/blueprint/screen.css	(from http://www.evoolution.ca/)
18:21:40	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	text/css	etag:%22kjwyunk0stlsyvmf89qxtq==%22	http://www.evoolution.ca/stylesheets/blueprint/print.css	E:/evoolution/evoolution/www.evoolution.ca/stylesheets/blueprint/print.css	(from http://www.evoolution.ca/)
18:21:40	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	text/css	etag:%22xece2/gjp2omizyb5ue2vg==%22	http://www.evoolution.ca/stylesheets/evoolution.css	E:/evoolution/evoolution/www.evoolution.ca/stylesheets/evoolution.css	(from http://www.evoolution.ca/)
18:21:41	19922/19922	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2019%20Mar%202018%2000:21:41%20GMT	http://use.typekit.net/pna8orj.js	E:/evoolution/evoolution/use.typekit.net/pna8orj.js	(from http://www.evoolution.ca/)
18:21:43	2883/2883	---M-Z	200	added ('OK')	application/javascript	etag:W/%220fa138dbcd31:0%22	http://www.evoolution.ca/CatalystScripts/Java_Box.js?vs=b120.r513659-phase1	E:/evoolution/evoolution/www.evoolution.ca/CatalystScripts/Java_Box5d7c.js	(from http://www.evoolution.ca/)
18:21:43	55194/55194	---M-Z	200	added ('OK')	application/javascript	etag:W/%225aaad087-d79a%22	http://w.sharethis.com/button/buttons.js	E:/evoolution/evoolution/w.sharethis.com/button/buttons.js	(from http://www.evoolution.ca/)
18:21:43	19741/19741	---MC-	200	added ('OK')	text/javascript	date:Mon,%2019%20Mar%202018%2000:21:42%20GMT	http://www.googleadservices.com/pagead/conversion.js	E:/evoolution/evoolution/www.googleadservices.com/pagead/f.txt	(from http://www.evoolution.ca/)
18:21:43	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	image/jpeg	etag:W/%22xm1cmeu/odkyfb796nfuhg==%22	http://www.evoolution.ca/images/headers/evoolution_logo.jpg	E:/evoolution/evoolution/www.evoolution.ca/images/headers/evoolution_logo.jpg	(from http://www.evoolution.ca/)
18:21:43	0/0	UR-M-Z	416	error ('Requested%20Range%20Not%20Satisfiable')	image/jpeg	etag:W/%229vcjvarwemjct3am1surjg==%22	http://www.evoolution.ca/images/headers/new/tastings_header_new.jpg	E:/evoolution/evoolution/www.evoolution.ca/images/headers/new/tastings_header_new.jpg	(from http://www.evoolution.ca/)
18:21:45	30954/30954	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2000:21:44%20GMT	http://www.evoolution.ca/oils	E:/evoolution/evoolution/www.evoolution.ca/oils.html	(from http://www.evoolution.ca/)
18:21:45	77746/77746	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.4.3/jquery.min.js	E:/evoolution/evoolution/ajax.googleapis.com/ajax/libs/jquery/1.4.3/jquery.min.js	(from http://www.evoolution.ca/)
18:21:45	37821/37821	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2000:21:45%20GMT	http://www.evoolution.ca/vinegars	E:/evoolution/evoolution/www.evoolution.ca/vinegars.html	(from http://www.evoolution.ca/)
18:21:46	20980/20980	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2000:21:46%20GMT	http://www.evoolution.ca/salts	E:/evoolution/evoolution/www.evoolution.ca/salts.html	(from http://www.evoolution.ca/)
18:21:47	25016/25016	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2000:21:46%20GMT	http://www.evoolution.ca/gift_sets	E:/evoolution/evoolution/www.evoolution.ca/gift_sets.html	(from http://www.evoolution.ca/)
18:21:47	23615/23615	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2000:21:47%20GMT	http://www.evoolution.ca/_tastings	E:/evoolution/evoolution/www.evoolution.ca/_tastings.html	(from http://www.evoolution.ca/)
18:21:48	34250/34250	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2000:21:48%20GMT	http://www.evoolution.ca/recipes_	E:/evoolution/evoolution/www.evoolution.ca/recipes_.html	(from http://www.evoolution.ca/)
18:21:48	54143/54143	---M-Z	200	added ('OK')	text/html	date:Mon,%2019%20Mar%202018%2000:21:48%20GMT	http://www.evoolution.ca/_blog/evoolution	E:/evoolution/evoolution/www.evoolution.ca/_blog/evoolution.html	(from http://www.evoolution.ca/)
